id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4867396,Appartement 60m2 Rue Legendre 75017,9703910,Matthieu,,Batignolles-Monceau,48.888800371487704,2.320465842925962,Entire home/apt,60,1,1,2015-05-19,0.07,1,0
7704653,Appart au pied de l'arc de triomphe,35777602,Claire,,Batignolles-Monceau,48.8766357492706,2.293723804167225,Entire home/apt,200,1,0,,,1,0
2725029,Nice appartment in Batignolles,13945253,Vincent,,Batignolles-Monceau,48.88383608753756,2.3210310265277223,Entire home/apt,80,3,1,2015-10-10,0.11,1,298
9337509,Charming flat near Batignolles,5107123,Julie,,Batignolles-Monceau,48.892360474673936,2.3223383248697687,Entire home/apt,60,2,1,2015-12-15,0.15,1,364
12928158,Spacious bedroom near the centre of Paris,51195601,Daniele,,Batignolles-Monceau,48.88941717021413,2.2983211092206273,Private room,50,1,2,2016-06-17,2,1,89
5589471,"Rare, Maison individuelle 200m2",28980052,Philippe,,Batignolles-Monceau,48.88706631306213,2.312212032159616,Entire home/apt,191,3,0,,,1,0
2728649,Heart of Batignolles - 2 bedrooms,13964280,Camille,,Batignolles-Monceau,48.88825321907336,2.3186872822687,Entire home/apt,100,1,4,2015-07-16,0.26,1,365
793550,Charming Duplex luxe with Balconies,4180763,Aurore,,Batignolles-Monceau,48.88499464511882,2.324296940416191,Entire home/apt,290,3,14,2015-10-11,0.33,1,364
9337880,F2 -10min à pied des Champs Elysées,15784875,Angélique,,Batignolles-Monceau,48.87845004757468,2.296609979213959,Entire home/apt,99,1,2,2015-11-10,0.25,1,365
9433064,Grand appartement haussmannien,8307327,Frederic,,Batignolles-Monceau,48.880690367282675,2.2930880522317314,Entire home/apt,401,1,0,,,2,365
6833868,2 pièces au coeur des batignolles,35797393,Anouk,,Batignolles-Monceau,48.88542825864132,2.3194548785738967,Entire home/apt,80,5,0,,,1,364
5668185,LOVE STUDIO PARIS,6191955,Gérald,,Batignolles-Monceau,48.87899720161758,2.2874913615067083,Entire home/apt,80,4,1,2015-04-06,0.07,1,361
240434,Beautiful apartment in the 17eme,1210696,Françoise,,Batignolles-Monceau,48.88525561884222,2.3198690041476,Entire home/apt,96,6,1,2015-05-27,0.07,1,0
7896836,Design & Calm Home in Batignolles,4861328,Marie,,Batignolles-Monceau,48.88607123435945,2.3177729373393614,Entire home/apt,90,1,0,,,1,0
6091420,COSY 2 ROOMS FLAT - BATIGNOLLES,3042094,Nicolas,,Batignolles-Monceau,48.88639097715386,2.3196261197354855,Entire home/apt,150,1,2,2015-10-02,0.16,1,365
10727422,COCOONING APPARTEMENT,1660959,Léa,,Batignolles-Monceau,48.8910399823651,2.319309453924708,Entire home/apt,55,2,9,2016-06-24,1.74,1,83
6506978,Spacieux en Duplex - Terrasse - Place Wagram,34017361,Judith,,Batignolles-Monceau,48.88731366420383,2.304501300425734,Entire home/apt,140,2,3,2016-06-15,0.23,2,311
6062097,3 chambres près de Montmartre,30715656,Laetitia,,Batignolles-Monceau,48.88774201310246,2.3238602421068655,Entire home/apt,68,3,2,2015-07-16,0.14,2,147
767488,Amazing Studio near Champs Élysée,4047935,Hamza,,Batignolles-Monceau,48.88806109790095,2.3062557879789787,Entire home/apt,70,4,17,2016-05-06,0.44,1,198
5357062,Grand appartement avec terrasse,27770315,Laila,,Batignolles-Monceau,48.89194031957437,2.30441608626842,Entire home/apt,311,1,0,,,1,365
6153535,Beautiful and modern flat,28711167,Mary,,Batignolles-Monceau,48.88443056949166,2.317176022116731,Entire home/apt,100,1,0,,,1,362
10347922,Au coeur de Porte Maillot,53258462,Loy,,Batignolles-Monceau,48.88387116571692,2.2863437777348423,Entire home/apt,75,1,0,,,1,365
6676814,Peaceful place in Paris,34945898,Maxime,,Batignolles-Monceau,48.885850995328504,2.3192860344546404,Entire home/apt,70,6,0,,,1,364
9430746,Joli studio dans les batignolles,24615694,Valentin,,Batignolles-Monceau,48.883003830205695,2.3231970880508523,Entire home/apt,55,1,0,,,1,0
7202985,4BR flat near Arc de Triomphe,37715724,Jacques,,Batignolles-Monceau,48.87640331130854,2.2919440810674954,Entire home/apt,251,1,0,,,1,0
5237088,Flat 2 rooms 80m2 with Parking,20799580,Antoine,,Batignolles-Monceau,48.887256816191545,2.296120097178687,Entire home/apt,130,1,23,2016-06-27,1.44,1,233
1174509,High Standing Typical Paris's Flat ,221029,Céline,,Batignolles-Monceau,48.885528174329274,2.313012976326155,Entire home/apt,181,2,77,2016-06-08,2.14,1,316
4696032,Beautiful flat in Batignolles,23806703,Charlotte & Guillaume,,Batignolles-Monceau,48.88698915071705,2.320081175447655,Entire home/apt,79,4,7,2015-08-19,0.48,1,322
3575610, 10 minute de Champs-Élysées,18001747,Maxime,,Batignolles-Monceau,48.87839562809947,2.2895014333602814,Private room,150,1,0,,,1,0
7339475,Studio ensoleillé - Arc de Triomphe,22012709,Sacha,,Batignolles-Monceau,48.87528248572509,2.2917777313642524,Entire home/apt,50,1,0,,,1,0
8515768,Nice Studio Near Arc de Triomphe,44840379,X,,Batignolles-Monceau,48.88504277545768,2.3000976579752046,Entire home/apt,38,2,5,2016-06-13,1.47,1,183
4290277,Family flat-Batignolles-116m²,22273604,Thomas,,Batignolles-Monceau,48.88461048438915,2.323709420998874,Entire home/apt,191,3,4,2015-08-04,0.27,1,226
1485293,Charming studio near Champs Elysées,7945368,Anaïs,,Batignolles-Monceau,48.87895005518215,2.297605344359013,Entire home/apt,42,5,12,2015-11-09,0.35,1,0
