business_id,city,full_address,latitude,longitude,name,review_count,stars,state,type,Sunday_Open,Sunday_Close,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Noise Level,Attire,Alcohol,Price_Range,Delivery,Outdoor_Seating,Drive-Thru,Good_for_Groups,Has_TV,Caters,Waiter_Service,Good_for_Kids,Accepts_Credit_Cards,Takes_Reservations,Wi_Fi,Happy_Hour,Good_for_Dancing,Smoking,BYOB,Corkage,Take_Out,Coat_Check,Parking_Street,Parking_Valet,Parking_Lot,Parking_Garage,Parking_Validated,Music_DJ,Music_Karaoke,Music_Video,Music_Live,Music_Jukebox,Music_Background_Music,Is_Restaurants,Sandwiches,Fast Food,Nightlife,Pizza,Bars,Mexican,Food,American (Traditional),Burgers,Chinese,Italian,American (New),Breakfast & Brunch,Thai,Indian,Sushi Bars,Korean,Mediterranean,Japanese,Seafood,Middle Eastern,Pakistani,Barbeque,Vietnamese,Asian Fusion,Diners,Greek,Vegetarian,Number_of_Checkins,Number_of_Tips,Number_of_Tip_Likes
F7l0UuTvf_734UMAwsJfkg,Las Vegas,"1701 Bearden Dr Downtown Las Vegas, NV 89106",36.161516999999996,-115.16401100000002,Apex Medical Center,3,3.5,NV,business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uzztTCsg3XAKlYqmLO40aw,Las Vegas,"5835 S Eastern Ave Southeast Las Vegas, NV 89119",36.0839363,-115.11942250000001,Psychic Eye Book Shops,16,4.0,NV,business,11:00,18:00,10:00,21:00,11:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,,,,2.0,,,,,,,,0.0,1.0,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0
IspFZDcpu9W5NvvJ7QgJZg,Las Vegas,"The Forum Shops At Caesars 3500 Las Vegas Blvd So The Strip Las Vegas, NV 89109",36.1190372,-115.1732186,Gap,7,4.5,NV,business,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,00:00,10:00,00:00,,,,2.0,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0
Dvulg9cc3XHkt5DkBUekhw,Las Vegas,"467 E Silverado Ranch Blvd Ste 175 Southeast Las Vegas, NV 89183",36.012517700000004,-115.1526505,Great Clips,14,3.0,NV,business,09:00,18:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,19:00,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,7,0
zPWqckZlomy5n6CIfYS62Q,Las Vegas,"5695 S Boulder Highway Southeast Las Vegas, NV 89122",36.099236,-115.04793090000001,SuperPawn,5,2.5,NV,business,12:00,17:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
oD2qusBcJwPHhB6APuu59A,Las Vegas,"2800 N Tenaya Way Ste 203 Las Vegas, NV 89128",36.211152,-115.24878000000001,Linda Woodson Dermatology,34,2.5,NV,business,,,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0
_SM8UKIwBNbmj1r629ipoQ,Las Vegas,"1916 Village Center Cir Summerlin Las Vegas, NV 89134",36.1936092,-115.3040091,Chianti Cafe,9,3.5,NV,business,,,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,00:00,11:00,00:00,,casual,full_bar,2.0,0.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,no,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J8XafvvbGCNwWesfHTqc1Q,Las Vegas,"10080 Alta Dr Ste 120 Westside Las Vegas, NV 89145",36.168738700000006,-115.3144126,"Ken Landow, MD",39,3.5,NV,business,,,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
Zaw0IAXwopKX4MV23MHQRw,Las Vegas,"2718 E Tropicana Avenue Eastside Las Vegas, NV 89121",36.10028629999999,-115.1132293,Terrible Herbst,3,1.5,NV,business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
hl_4iw38sPoR4u5lX2qFDQ,Las Vegas,"5195 S Valley View Blvd Las Vegas, NV 89118",36.095622,-115.19034199999999,Re-Bath,9,2.5,NV,business,,,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,10:00,15:00,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
